deck_name;opponent;win_rate;record;total_games
N's Zoroark;Mega Venusaur;31,25;35 - 77 - 0;112
Kangaskhan Bouffalant;Tera Box;71,83;102 - 40 - 2;144
Kangaskhan Bouffalant;Flareon Noctowl;60,64;57 - 37 - 1;95
Kangaskhan Bouffalant;Grimmsnarl Froslass;58,43;149 - 106 - 3;258
Kangaskhan Bouffalant;Sharpedo Toxtricity;58,16;57 - 41 - 2;100
Kangaskhan Bouffalant;Gardevoir Jellicent;56,92;218 - 165 - 21;404
Kangaskhan Bouffalant;Dragapult Charizard;56,3;76 - 59 - 2;137
Kangaskhan Bouffalant;Charizard Pidgeot;55,48;172 - 138 - 10;320
Kangaskhan Bouffalant;Dragapult Dusknoir;55,25;442 - 358 - 23;823
Kangaskhan Bouffalant;Ceruledge;53,96;109 - 93 - 4;206
Kangaskhan Bouffalant;Charizard Noctowl;53,72;231 - 199 - 12;442
Kangaskhan Bouffalant;Gardevoir;52,78;133 - 119 - 6;258
Kangaskhan Bouffalant;N's Zoroark;52,03;141 - 130 - 5;276
Kangaskhan Bouffalant;Mega Absol Box;50,34;149 - 147 - 15;311
Kangaskhan Bouffalant;Kangaskhan Bouffalant;50,0;142 - 142 - 16;300
Kangaskhan Bouffalant;Lopunny Dusknoir;49,52;104 - 106 - 2;212
Kangaskhan Bouffalant;Gholdengo Lunatone;46,39;353 - 408 - 18;779
Kangaskhan Bouffalant;Mega Venusaur;43,3;42 - 55 - 3;100
Kangaskhan Bouffalant;Greninja;42,72;44 - 59 - 1;104
Kangaskhan Bouffalant;Raging Bolt Ogerpon;38,65;80 - 127 - 2;209
Kangaskhan Bouffalant;Alakazam Dudunsparce;28,9;102 - 251 - 5;358
