deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Gengar;BESTEHEND;STABIL;147;147;0;4;4;0;0,01;0,01;0,0;36,84;36,84;0,0
Dragapult Zoroark;BESTEHEND;STABIL;148;148;0;3;3;0;0,01;0,01;0,0;58,82;58,82;0,0
Scizor;BESTEHEND;STABIL;149;149;0;3;3;0;0,01;0,01;0,0;50,0;50,0;0,0
Incineroar;BESTEHEND;STABIL;150;150;0;3;3;0;0,01;0,01;0,0;47,37;47,37;0,0
Alolan Exeggutor ex;BESTEHEND;STABIL;151;151;0;3;3;0;0,01;0,01;0,0;35,71;35,71;0,0
Luxray;BESTEHEND;STABIL;152;152;0;3;3;0;0,01;0,01;0,0;33,33;33,33;0,0
Magnezone;BESTEHEND;STABIL;153;153;0;3;3;0;0,01;0,01;0,0;0,0;0,0;0,0
Steelix;BESTEHEND;STABIL;154;154;0;2;2;0;0,0;0,0;0,0;66,67;66,67;0,0
Steelix Dodrio;BESTEHEND;STABIL;155;155;0;2;2;0;0,0;0,0;0,0;37,5;37,5;0,0
Raging Bolt Sandy Shocks;BESTEHEND;STABIL;156;156;0;2;2;0;0,0;0,0;0,0;33,33;33,33;0,0
Ting-Lu;BESTEHEND;STABIL;157;157;0;2;2;0;0,0;0,0;0,0;33,33;33,33;0,0
Dondozo;BESTEHEND;STABIL;158;158;0;2;2;0;0,0;0,0;0,0;16,67;16,67;0,0
Banette;BESTEHEND;STABIL;159;159;0;2;2;0;0,0;0,0;0,0;16,67;16,67;0,0
Arcanine;BESTEHEND;STABIL;160;160;0;2;2;0;0,0;0,0;0,0;0,0;0,0;0,0
Ursaluna Iron Valiant;BESTEHEND;STABIL;161;161;0;1;1;0;0,0;0,0;0,0;50,0;50,0;0,0
Dudunsparce Control;BESTEHEND;STABIL;162;162;0;1;1;0;0,0;0,0;0,0;22,22;22,22;0,0
Aegislash;BESTEHEND;STABIL;163;163;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Future Thorns;BESTEHEND;STABIL;164;164;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Farigiraf Crustle;BESTEHEND;STABIL;165;165;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Lillie's Clefairy;BESTEHEND;STABIL;166;166;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Gothitelle;BESTEHEND;STABIL;167;167;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
